Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Gigabyte,029U-TR4,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6242,150,16,3.5,2,32,64,222,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-17115.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-16773.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17692.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-17925.html,,,,,,,,,,,
Dell,PowerEdge T640,Ubuntu 18.04.2 LTS,5.0.20-050020-generic,Intel,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15466.html,,,,,,,,,,,
Primergy,RX2540 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190426-12373.html,,,,,,,,,,,
HPE,ProLiant ML350 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11851.html,,,,,,,,,,,
HPE,ProLiant ML350 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,5215L,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13864.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190709-16112.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190404-11758.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-12043.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12346.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12350.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12354.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12358.html,,,,,,,,,,,
Lenovo,ThinkSystem ST550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5215L,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13098.html,,,,,,,,,,,
Lenovo,ThinkSystem SR530,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13808.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6262V,135,24,2.5,2,48,96,238,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18219.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2666,Intel,CLX,5215M,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15592.html,,,,,,,,,,,
Lenovo,ThinkSystem SR550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2666,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15980.html,,,,,,,,,,,
Gigabyte,029P-WTR,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2666,Intel,CLX,5215,85,10,3,2,20,40,119,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190917-18483.html,,,,,,,,,,,
Dell,PowerEdge R640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11962.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13701.html,,,,,,,,,,,
Primergy,RX2530 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191029-19465.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190709-16109.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12610.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12616.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12620.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12628.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12677.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12884.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13032.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13175.html,,,,,,,,,,,
Lenovo,ThinkSystem SR530,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13277.html,,,,,,,,,,,
Lenovo,ThinkSystem SR550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13391.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13872.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2666,Intel,CLX,5217,115,8,3.4,2,16,32,108,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190524-14470.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-65-generic,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,4214R,100,12,3,2,24,48,143,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20779.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6238T,125,22,2.7,2,44,88,236,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-16959.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6252,150,24,2.8,2,48,96,267,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17751.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6252,150,24,2.8,2,48,96,267,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13331.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,6252,150,24,2.8,2,48,96,267,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12960.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,6252,150,24,2.8,2,48,96,267,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14818.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2666,Intel,CLX,6252,150,24,2.8,2,48,96,267,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13356.html,,,,,,,,,,,
Primergy,CX2550 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,5218,125,16,2.8,2,32,64,178,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19615.html,,,,,,,,,,,
HPE,ProLiant XL170r Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-197.29-default,Intel C/C++,19.0.4.227,,192,12,16,2Rx4,2933,Intel,CLX,5218,125,16,2.8,2,32,64,178,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200102-20502.html,,,,,,,,,,,
Supermicro,SuperServer 2029U-E1CRT,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,768,12,64,2Rx4,3200,Intel,CLX,5218,125,16,2.8,2,32,64,178,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191112-19806.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6238,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15955.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6238,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15602.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6238L,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190819-16928.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,24,16,2Rx8,2933,Intel,CLX,6238,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190805-16632.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6238L,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-16979.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6238L,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17599.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6238,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18082.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6238M,140,22,2.8,2,44,88,245,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18210.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,5218N,110,16,3,2,32,64,191,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190805-16528.html,,,,,,,,,,,
Primergy,CX2550 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,5222,105,4,3.9,2,8,16,62.1,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19617.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,5218T,105,16,2.7,2,32,64,172,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190926-18653.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,4216,100,16,2.7,2,32,64,172,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13758.html,,,,,,,,,,,
Lenovo,ThinkSystem SR550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,4216,100,16,2.7,2,32,64,172,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13834.html,,,,,,,,,,,
Tyrone,DIT400TR-28RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,4216,100,16,2.7,2,32,64,172,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191029-19497.html,,,,,,,,,,,
Tyrone,DIT400TR-48RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,4216,100,16,2.7,2,32,64,172,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-20939.html,,,,,,,,,,,
Primergy,CX2560 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,4214,85,12,2.7,2,24,48,129,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19641.html,,,,,,,,,,,
Huawei,XH321 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,4214,85,12,2.7,2,24,48,129,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11841.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,4214,85,12,2.7,2,24,48,129,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13402.html,,,,,,,,,,,
Lenovo,ThinkSystem ST550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,4214,85,12,2.7,2,24,48,129,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13438.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,4214Y,85,12,2.7,2,24,48,129,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-14913.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,,384,24,16,2Rx8,2933,Intel,CLX,6258R,205,28,3.4,2,56,112,326,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200217-20896.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6240R,165,24,3.2,2,48,96,287,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200303-21134.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6230T,125,20,2.8,2,40,80,223,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190902-17406.html,,,,,,,,,,,
Inspur,NF5280M5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx4,2933,Intel,CLX,6244,150,8,4.3,2,16,32,137,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200120-20606.html,,,,,,,,,,,
Primergy,RX2540 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,4215,85,8,3,2,16,32,95.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190426-12383.html,,,,,,,,,,,
Dell,PowerEdge R640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,6252,150,24,2.8,2,48,96,268,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11966.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6252,150,24,2.8,2,48,96,268,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190611-15223.html,,,,,,,,,,,
Primergy,RX2540 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6252,150,24,2.8,2,48,96,268,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19674.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6252,150,24,2.8,2,48,96,268,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14680.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6252,150,24,2.8,2,48,96,268,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-16024.html,,,,,,,,,,,
Dell,PowerEdge R540,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,4215,85,8,3,2,16,32,95.8,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18027.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6238L,140,22,2.8,2,44,88,246,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190917-18412.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6238L,140,22,2.8,2,44,88,246,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15610.html,,,,,,,,,,,
Tyrone,DIT400TR-55R/55RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,5218,125,16,2.8,2,32,64,179,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-20995.html,,,,,,,,,,,
HPE,Synergy 660 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,512,16,32,2Rx4,2933,Intel,CLX,5218,125,16,2.8,2,32,64,179,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191014-19016.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6240R,165,24,3.2,2,48,96,284,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200302-21078.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6240R,165,24,3.2,2,48,96,282,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200303-21215.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-47-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6234,130,8,4,2,16,32,128,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190611-15291.html,,,,,,,,,,,
Dell,PowerEdge MX740c,Ubuntu 18.04.2 LTS,4.15.0-46-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6234,130,8,4,2,16,32,128,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15379.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,6234,130,8,4,2,16,32,128,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15574.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6234,130,8,4,2,16,32,128,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190924-18519.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-25.25-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,4210,85,10,2.7,2,20,40,108,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190820-17214.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,4210,85,10,2.7,2,20,40,108,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17691.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,4210,85,10,2.7,2,20,40,108,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190930-18789.html,,,,,,,,,,,
