Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Huawei,XH321 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12692.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13369.html,,,,,,,,,,,
Gigabyte,029U-TR4,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13428.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,231,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17747.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-47-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,244,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190611-15343.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,244,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18019.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2666,Intel,CLX,8276L,165,28,3,2,56,112,292,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14691.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,292,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12286.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,292,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190425-12305.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.7,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14523.html,,,,,,,,,,,
